FIPS,County,Population,# 65 and over,% 65 and over,Costs
19001,Adair,7472,1648,22.1,8461
19003,Adams,3894,850,21.8,8505
19005,Allamakee,14169,2919,20.6,6642
19007,Appanoose,12692,2689,21.2,8378
19009,Audubon,5873,1418,24.1,8443
19011,Benton,25699,4255,16.6,8680
19013,Black Hawk,132546,19299,14.6,8978
19015,Boone,26364,4403,16.7,8821
19017,Bremer,24624,4475,18.2,9423
19019,Buchanan,20976,3358,16,8332
19021,Buena Vista,20567,2993,14.6,7787
19023,Butler,15021,3106,20.7,8972
19025,Calhoun,9926,2239,22.6,8992
19027,Carroll,20598,3900,18.9,7338
19029,Cass,13598,2906,21.4,8157
19031,Cedar,18393,3312,18,7291
19033,Cerro Gordo,43575,8335,19.1,7355
19035,Cherokee,11945,2626,22,8307
19037,Chickasaw,12321,2359,19.1,8469
19039,Clarke,9325,1599,17.1,9145
19041,Clay,16491,3200,19.4,6763
19043,Clayton,17773,3641,20.5,7642
19045,Clinton,48420,8625,17.8,9176
19047,Crawford,17434,2887,16.6,7557
19049,Dallas,74641,8102,10.9,7495
19051,Davis,8791,1526,17.4,8135
19053,Decatur,8136,1528,18.8,8704
19055,Delaware,17534,3095,17.7,7379
19057,Des Moines,40480,7450,18.4,8419
19059,Dickinson,16955,3961,23.4,6973
19061,Dubuque,95697,15186,15.9,7853
19063,Emmet,9996,1909,19.1,9044
19065,Fayette,20502,4106,20,8961
19067,Floyd,16092,3317,20.6,8681
19069,Franklin,10548,2075,19.7,8961
19071,Fremont,7080,1479,20.9,9269
19073,Greene,9139,1931,21.1,7622
19075,Grundy,12314,2414,19.6,8289
19077,Guthrie,10687,2267,21.2,8148
19079,Hamilton,15312,2917,19.1,9380
19081,Hancock,11094,2201,19.8,9196
19083,Hardin,17441,3701,21.2,9023
19085,Harrison,14431,2699,18.7,9789
19087,Henry,20222,3494,17.3,7001
19089,Howard,9526,1869,19.6,7668
19091,Humboldt,9688,1983,20.5,8491
19093,Ida,7141,1513,21.2,9906
19095,Iowa,16330,2916,17.9,7850
19097,Jackson,19587,3802,19.4,8330
19099,Jasper,36641,6536,17.8,7314
19101,Jefferson,16810,3038,18.1,8608
19103,Johnson,139155,13327,9.6,7009
19105,Jones,20611,3752,18.2,8514
19107,Keokuk,10329,2064,20,7628
19109,Kossuth,15321,3366,22,7911
19111,Lee,35682,6477,18.2,7700
19113,Linn,216111,30268,14,8474
19115,Louisa,11282,1803,16,7529
19117,Lucas,8746,1815,20.8,8301
19119,Lyon,11712,1973,16.8,7946
19121,Madison,15448,2447,15.8,7368
19123,Mahaska,22417,3721,16.6,7672
19125,Marion,33252,5473,16.5,8665
19127,Marshall,40994,7019,17.1,7477
19129,Mills,14896,2252,15.1,8849
19131,Mitchell,10709,2297,21.4,7319
19133,Monona,9121,2212,24.3,8441
19135,Monroe,8012,1515,18.9,7090
19137,Montgomery,10424,2161,20.7,9577
19139,Muscatine,42836,6335,14.8,8328
19141,O'Brien,14044,2897,20.6,8337
19143,Osceola,6211,1272,20.5,7294
19145,Page,15713,3149,20,9646
19147,Palo Alto,9185,1969,21.4,8323
19149,Plymouth,24957,4368,17.5,8515
19151,Pocahontas,7154,1595,22.3,8220
19153,Polk,451677,51646,11.4,7762
19155,Pottawattamie,92728,14226,15.3,8451
19157,Poweshiek,18601,3564,19.2,6748
19159,Ringgold,5072,1249,24.6,9100
19161,Sac,10071,2274,22.6,9062
19163,Scott,170385,23835,14,9180
19165,Shelby,11961,2662,22.3,8763
19167,Sioux,34547,4931,14.3,8279
19169,Story,92406,9794,10.6,7969
19171,Tama,17576,3363,19.1,8225
19173,Taylor,6161,1284,20.8,9098
19175,Union,12583,2374,18.9,7079
19177,Van Buren,7436,1524,20.5,8117
19179,Wapello,35391,5979,16.9,8694
19181,Warren,47336,6923,14.6,7703
19183,Washington,22015,4017,18.2,7250
19185,Wayne,6402,1440,22.5,9227
19187,Webster,37044,6353,17.1,8280
19189,Winnebago,10554,2135,20.2,7507
19191,Winneshiek,20994,3711,17.7,6573
19193,Woodbury,102130,13777,13.5,8590
19195,Worth,7541,1472,19.5,7681
19197,Wright,12972,2762,21.3,8982
