FIPS,County,pctSmokers,pctObese,foodEnvIdx,pctPhysInact
19001,Adair,19,32,8.6,31
19003,Adams,,33,8.5,27
19005,Allamakee,17,30,7.9,22
19007,Appanoose,28,30,7.5,31
19009,Audubon,24,33,8.5,25
19011,Benton,22,30,8.5,25
19013,Black Hawk,21,29,7,22
19015,Boone,22,30,8.3,27
19017,Bremer,14,30,8.8,23
19019,Buchanan,18,31,8.3,28
19021,Buena Vista,12,30,8.3,24
19023,Butler,10,28,7.4,27
19025,Calhoun,22,31,7,24
19027,Carroll,21,30,8.7,22
19029,Cass,15,32,7.6,28
19031,Cedar,19,32,8.6,30
19033,Cerro Gordo,18,30,7.8,28
19035,Cherokee,10,33,8.6,27
19037,Chickasaw,15,30,8.1,27
19039,Clarke,33,29,8.2,27
19041,Clay,20,29,8.4,24
19043,Clayton,17,31,7.7,26
19045,Clinton,28,30,7.6,27
19047,Crawford,13,30,8.1,30
19049,Dallas,12,31,9,28
19051,Davis,23,31,7.8,28
19053,Decatur,19,30,7.6,26
19055,Delaware,20,37,8.6,32
19057,Des Moines,21,32,7.4,27
19059,Dickinson,20,31,8.2,24
19061,Dubuque,10,29,8,21
19063,Emmet,21,32,8.1,29
19065,Fayette,21,40,8.3,28
19067,Floyd,16,33,7.8,25
19069,Franklin,19,31,8.3,26
19071,Fremont,17,33,7.3,26
19073,Greene,23,29,7.7,28
19075,Grundy,11,31,8.8,27
19077,Guthrie,9,35,8.4,29
19079,Hamilton,23,28,7.6,25
19081,Hancock,20,31,8.3,27
19083,Hardin,20,34,8.2,31
19085,Harrison,22,30,8.2,29
19087,Henry,17,34,6.8,27
19089,Howard,11,31,7.5,25
19091,Humboldt,17,35,8,28
19093,Ida,,30,8.5,29
19095,Iowa,12,31,8.5,26
19097,Jackson,11,31,7.9,24
19099,Jasper,19,34,7.7,29
19101,Jefferson,21,28,7.8,21
19103,Johnson,14,24,7.7,17
19105,Jones,22,31,8.3,25
19107,Keokuk,24,31,7.7,27
19109,Kossuth,16,32,7.8,29
19111,Lee,21,36,7.6,27
19113,Linn,16,28,7.9,23
19115,Louisa,23,32,8.7,30
19117,Lucas,,31,7.5,26
19119,Lyon,17,32,8.6,28
19121,Madison,13,33,8.3,24
19123,Mahaska,15,29,7.4,27
19125,Marion,18,30,8.4,23
19127,Marshall,22,32,7.9,24
19129,Mills,28,29,8.8,27
19131,Mitchell,15,28,8.3,26
19133,Monona,17,29,7.8,27
19135,Monroe,15,34,7.8,32
19137,Montgomery,24,32,7.5,27
19139,Muscatine,21,36,7.8,26
19141,O'Brien,,29,7.9,23
19143,Osceola,,29,8.2,26
19145,Page,16,33,6.8,29
19147,Palo Alto,,29,7.6,27
19149,Plymouth,14,32,9,24
19151,Pocahontas,20,31,7.7,29
19153,Polk,18,28,7.8,22
19155,Pottawattamie,22,35,7.2,28
19157,Poweshiek,17,29,8,22
19159,Ringgold,,32,8.2,28
19161,Sac,21,29,8.2,24
19163,Scott,18,31,7.8,21
19165,Shelby,21,30,8,28
19167,Sioux,12,27,9,25
19169,Story,11,25,7.1,19
19171,Tama,18,32,7.8,32
19173,Taylor,19,30,8.4,24
19175,Union,15,35,7.6,27
19177,Van Buren,,31,4.6,29
19179,Wapello,21,31,6.9,30
19181,Warren,14,29,8.4,28
19183,Washington,16,30,8.5,24
19185,Wayne,20,32,6.7,26
19187,Webster,20,28,7.3,25
19189,Winnebago,10,33,8,30
19191,Winneshiek,11,25,8.5,19
19193,Woodbury,23,32,7,27
19195,Worth,17,30,8.5,28
19197,Wright,17,33,8.4,30
